item_id,dept_id,cat_id
FOODS_1_001,FOODS_1,FOODS
FOODS_1_002,FOODS_1,FOODS
FOODS_1_003,FOODS_1,FOODS
FOODS_1_004,FOODS_1,FOODS
FOODS_1_005,FOODS_1,FOODS
FOODS_1_006,FOODS_1,FOODS
FOODS_1_008,FOODS_1,FOODS
FOODS_1_009,FOODS_1,FOODS
FOODS_1_010,FOODS_1,FOODS
FOODS_1_011,FOODS_1,FOODS
FOODS_1_012,FOODS_1,FOODS
FOODS_1_013,FOODS_1,FOODS
FOODS_1_014,FOODS_1,FOODS
FOODS_1_015,FOODS_1,FOODS
FOODS_1_016,FOODS_1,FOODS
FOODS_1_017,FOODS_1,FOODS
FOODS_1_018,FOODS_1,FOODS
FOODS_1_019,FOODS_1,FOODS
FOODS_1_020,FOODS_1,FOODS
FOODS_1_021,FOODS_1,FOODS
FOODS_1_022,FOODS_1,FOODS
FOODS_1_023,FOODS_1,FOODS
FOODS_1_024,FOODS_1,FOODS
FOODS_1_025,FOODS_1,FOODS
FOODS_1_026,FOODS_1,FOODS
FOODS_1_027,FOODS_1,FOODS
FOODS_1_028,FOODS_1,FOODS
FOODS_1_029,FOODS_1,FOODS
FOODS_1_030,FOODS_1,FOODS
FOODS_1_031,FOODS_1,FOODS
FOODS_1_032,FOODS_1,FOODS
FOODS_1_033,FOODS_1,FOODS
FOODS_1_034,FOODS_1,FOODS
FOODS_1_035,FOODS_1,FOODS
FOODS_1_036,FOODS_1,FOODS
FOODS_1_037,FOODS_1,FOODS
FOODS_1_038,FOODS_1,FOODS
FOODS_1_039,FOODS_1,FOODS
FOODS_1_040,FOODS_1,FOODS
FOODS_1_041,FOODS_1,FOODS
FOODS_1_042,FOODS_1,FOODS
FOODS_1_043,FOODS_1,FOODS
FOODS_1_044,FOODS_1,FOODS
FOODS_1_045,FOODS_1,FOODS
FOODS_1_046,FOODS_1,FOODS
FOODS_1_047,FOODS_1,FOODS
FOODS_1_048,FOODS_1,FOODS
FOODS_1_049,FOODS_1,FOODS
FOODS_1_050,FOODS_1,FOODS
FOODS_1_051,FOODS_1,FOODS
FOODS_1_052,FOODS_1,FOODS
FOODS_1_053,FOODS_1,FOODS
FOODS_1_054,FOODS_1,FOODS
FOODS_1_055,FOODS_1,FOODS
FOODS_1_056,FOODS_1,FOODS
FOODS_1_057,FOODS_1,FOODS
FOODS_1_058,FOODS_1,FOODS
FOODS_1_059,FOODS_1,FOODS
FOODS_1_060,FOODS_1,FOODS
FOODS_1_061,FOODS_1,FOODS
FOODS_1_062,FOODS_1,FOODS
FOODS_1_063,FOODS_1,FOODS
FOODS_1_064,FOODS_1,FOODS
FOODS_1_065,FOODS_1,FOODS
FOODS_1_066,FOODS_1,FOODS
FOODS_1_067,FOODS_1,FOODS
FOODS_1_068,FOODS_1,FOODS
FOODS_1_069,FOODS_1,FOODS
FOODS_1_070,FOODS_1,FOODS
FOODS_1_071,FOODS_1,FOODS
FOODS_1_072,FOODS_1,FOODS
FOODS_1_073,FOODS_1,FOODS
FOODS_1_074,FOODS_1,FOODS
FOODS_1_075,FOODS_1,FOODS
FOODS_1_076,FOODS_1,FOODS
FOODS_1_077,FOODS_1,FOODS
FOODS_1_078,FOODS_1,FOODS
FOODS_1_079,FOODS_1,FOODS
FOODS_1_080,FOODS_1,FOODS
FOODS_1_081,FOODS_1,FOODS
FOODS_1_082,FOODS_1,FOODS
FOODS_1_083,FOODS_1,FOODS
FOODS_1_084,FOODS_1,FOODS
FOODS_1_085,FOODS_1,FOODS
FOODS_1_086,FOODS_1,FOODS
FOODS_1_087,FOODS_1,FOODS
FOODS_1_088,FOODS_1,FOODS
FOODS_1_089,FOODS_1,FOODS
FOODS_1_090,FOODS_1,FOODS
FOODS_1_091,FOODS_1,FOODS
FOODS_1_092,FOODS_1,FOODS
FOODS_1_093,FOODS_1,FOODS
FOODS_1_094,FOODS_1,FOODS
FOODS_1_095,FOODS_1,FOODS
FOODS_1_096,FOODS_1,FOODS
FOODS_1_097,FOODS_1,FOODS
FOODS_1_098,FOODS_1,FOODS
FOODS_1_099,FOODS_1,FOODS
FOODS_1_101,FOODS_1,FOODS
FOODS_1_102,FOODS_1,FOODS
FOODS_1_103,FOODS_1,FOODS
FOODS_1_104,FOODS_1,FOODS
FOODS_1_105,FOODS_1,FOODS
FOODS_1_106,FOODS_1,FOODS
FOODS_1_107,FOODS_1,FOODS
FOODS_1_108,FOODS_1,FOODS
FOODS_1_109,FOODS_1,FOODS
FOODS_1_110,FOODS_1,FOODS
FOODS_1_111,FOODS_1,FOODS
FOODS_1_112,FOODS_1,FOODS
FOODS_1_113,FOODS_1,FOODS
FOODS_1_114,FOODS_1,FOODS
FOODS_1_115,FOODS_1,FOODS
FOODS_1_116,FOODS_1,FOODS
FOODS_1_117,FOODS_1,FOODS
FOODS_1_118,FOODS_1,FOODS
FOODS_1_119,FOODS_1,FOODS
FOODS_1_120,FOODS_1,FOODS
FOODS_1_121,FOODS_1,FOODS
FOODS_1_122,FOODS_1,FOODS
FOODS_1_123,FOODS_1,FOODS
FOODS_1_124,FOODS_1,FOODS
FOODS_1_125,FOODS_1,FOODS
FOODS_1_126,FOODS_1,FOODS
FOODS_1_127,FOODS_1,FOODS
FOODS_1_128,FOODS_1,FOODS
FOODS_1_129,FOODS_1,FOODS
FOODS_1_130,FOODS_1,FOODS
FOODS_1_131,FOODS_1,FOODS
FOODS_1_132,FOODS_1,FOODS
FOODS_1_133,FOODS_1,FOODS
FOODS_1_134,FOODS_1,FOODS
FOODS_1_135,FOODS_1,FOODS
FOODS_1_136,FOODS_1,FOODS
FOODS_1_137,FOODS_1,FOODS
FOODS_1_138,FOODS_1,FOODS
FOODS_1_139,FOODS_1,FOODS
FOODS_1_140,FOODS_1,FOODS
FOODS_1_141,FOODS_1,FOODS
FOODS_1_142,FOODS_1,FOODS
FOODS_1_143,FOODS_1,FOODS
FOODS_1_144,FOODS_1,FOODS
FOODS_1_145,FOODS_1,FOODS
FOODS_1_146,FOODS_1,FOODS
FOODS_1_147,FOODS_1,FOODS
FOODS_1_148,FOODS_1,FOODS
FOODS_1_149,FOODS_1,FOODS
FOODS_1_150,FOODS_1,FOODS
FOODS_1_151,FOODS_1,FOODS
FOODS_1_152,FOODS_1,FOODS
FOODS_1_153,FOODS_1,FOODS
FOODS_1_154,FOODS_1,FOODS
FOODS_1_155,FOODS_1,FOODS
FOODS_1_156,FOODS_1,FOODS
FOODS_1_157,FOODS_1,FOODS
FOODS_1_158,FOODS_1,FOODS
FOODS_1_159,FOODS_1,FOODS
FOODS_1_160,FOODS_1,FOODS
FOODS_1_161,FOODS_1,FOODS
FOODS_1_162,FOODS_1,FOODS
FOODS_1_163,FOODS_1,FOODS
FOODS_1_164,FOODS_1,FOODS
FOODS_1_166,FOODS_1,FOODS
FOODS_1_167,FOODS_1,FOODS
FOODS_1_168,FOODS_1,FOODS
FOODS_1_169,FOODS_1,FOODS
FOODS_1_170,FOODS_1,FOODS
FOODS_1_171,FOODS_1,FOODS
FOODS_1_172,FOODS_1,FOODS
FOODS_1_173,FOODS_1,FOODS
FOODS_1_174,FOODS_1,FOODS
FOODS_1_175,FOODS_1,FOODS
FOODS_1_176,FOODS_1,FOODS
FOODS_1_177,FOODS_1,FOODS
FOODS_1_178,FOODS_1,FOODS
FOODS_1_179,FOODS_1,FOODS
FOODS_1_180,FOODS_1,FOODS
FOODS_1_181,FOODS_1,FOODS
FOODS_1_182,FOODS_1,FOODS
FOODS_1_183,FOODS_1,FOODS
FOODS_1_184,FOODS_1,FOODS
FOODS_1_185,FOODS_1,FOODS
FOODS_1_186,FOODS_1,FOODS
FOODS_1_187,FOODS_1,FOODS
FOODS_1_188,FOODS_1,FOODS
FOODS_1_189,FOODS_1,FOODS
FOODS_1_190,FOODS_1,FOODS
FOODS_1_191,FOODS_1,FOODS
FOODS_1_192,FOODS_1,FOODS
FOODS_1_193,FOODS_1,FOODS
FOODS_1_194,FOODS_1,FOODS
FOODS_1_195,FOODS_1,FOODS
FOODS_1_196,FOODS_1,FOODS
FOODS_1_197,FOODS_1,FOODS
FOODS_1_198,FOODS_1,FOODS
FOODS_1_199,FOODS_1,FOODS
FOODS_1_200,FOODS_1,FOODS
FOODS_1_201,FOODS_1,FOODS
FOODS_1_202,FOODS_1,FOODS
FOODS_1_203,FOODS_1,FOODS
FOODS_1_204,FOODS_1,FOODS
FOODS_1_205,FOODS_1,FOODS
FOODS_1_206,FOODS_1,FOODS
FOODS_1_207,FOODS_1,FOODS
FOODS_1_208,FOODS_1,FOODS
FOODS_1_209,FOODS_1,FOODS
FOODS_1_210,FOODS_1,FOODS
FOODS_1_211,FOODS_1,FOODS
FOODS_1_212,FOODS_1,FOODS
FOODS_1_213,FOODS_1,FOODS
FOODS_1_214,FOODS_1,FOODS
FOODS_1_215,FOODS_1,FOODS
FOODS_1_216,FOODS_1,FOODS
FOODS_1_217,FOODS_1,FOODS
