item_id,dept_id,Popularity,Volatility,Sparsity,product_name
FOODS_3_090,FOODS_3,253859,0.29,0.0,Horizon Pretzels
FOODS_3_586,FOODS_3,136269,0.2,0.0,Horizon Pretzels
FOODS_3_120,FOODS_3,90412,0.3,15.0,Chobani Bagged Salad Mix
FOODS_3_252,FOODS_3,82861,0.31,0.0,Stonyfield Classic Cola 2L
FOODS_3_541,FOODS_3,80495,5.29,55.0,Annie's Honey Nut Cereal
FOODS_3_635,FOODS_3,80252,2.23,48.0,Silk Marinara Pasta Sauce
FOODS_3_808,FOODS_3,72597,3.89,48.0,Chobani Sliced White Bread
FOODS_3_587,FOODS_3,71200,0.35,0.0,Silk Fruit Snacks
FOODS_3_555,FOODS_3,59999,0.22,0.0,Silk Pretzels
FOODS_3_681,FOODS_3,56790,0.47,0.0,Tyson English Muffins
FOODS_3_714,FOODS_3,52763,0.25,0.0,Horizon Red Gala Apples
FOODS_3_202,FOODS_3,52254,0.33,0.0,Horizon Spaghetti Noodles
FOODS_3_607,FOODS_3,49536,0.4,1.0,Quaker Canned Sweet Corn
FOODS_3_281,FOODS_3,47886,0.57,3.0,Tyson Sliced White Bread
FOODS_3_319,FOODS_3,46738,5.29,51.0,Quaker Russet Potatoes (5lb)
FOODS_3_723,FOODS_3,45468,0.5,0.0,Nestle White Rice (2lb)
FOODS_3_318,FOODS_3,45302,0.36,1.0,Nature Valley Strawberry Jam
FOODS_3_752,FOODS_3,44427,0.84,2.0,Great Value Strawberry Jam
FOODS_2_197,FOODS_2,43430,0.53,1.0,Kraft Frozen Waffles
FOODS_3_694,FOODS_3,42965,0.24,0.0,General Mills Tortilla Chips
FOODS_3_234,FOODS_3,42766,3.67,39.0,Horizon Granola Bars (Oats)
FOODS_3_282,FOODS_3,42513,0.26,1.0,Horizon Potato Chips (Classic)
FOODS_3_288,FOODS_3,41418,0.23,0.0,Great Value Russet Potatoes (5lb)
FOODS_3_501,FOODS_3,40170,0.52,0.0,Kraft Baby Carrots Bag
FOODS_2_360,FOODS_2,40073,0.53,14.0,Chobani Chicken Breast (Boneless)
FOODS_2_276,FOODS_2,39421,0.35,0.0,Kelloggs Pork Sausage Links
FOODS_3_711,FOODS_3,37459,0.89,13.0,Dole Fruit Snacks
FOODS_3_804,FOODS_3,37409,0.53,17.0,Kelloggs Fruit Snacks
FOODS_3_080,FOODS_3,35473,0.27,0.0,Great Value Canned Sweet Corn
FOODS_3_389,FOODS_3,35418,0.36,0.0,Kraft Granola Bars (Oats)
FOODS_3_295,FOODS_3,35379,0.53,0.0,Dole Spaghetti Noodles
FOODS_3_376,FOODS_3,35356,0.92,9.0,Chobani Classic Cola 2L
FOODS_3_499,FOODS_3,34067,0.35,6.0,Nestle Potato Chips (Classic)
FOODS_2_244,FOODS_2,33942,0.44,1.0,Kelloggs Smoked Turkey Deli Slices
FOODS_3_491,FOODS_3,33272,0.55,0.0,Silk Avocados (Hass)
FOODS_3_739,FOODS_3,32962,0.31,0.0,Nestle Avocados (Hass)
FOODS_3_498,FOODS_3,32889,0.91,8.0,Organic Valley Sliced White Bread
FOODS_2_347,FOODS_2,32418,0.44,0.0,Silk Frozen Waffles
FOODS_3_764,FOODS_3,32403,0.4,0.0,Stonyfield Iceberg Lettuce
FOODS_3_455,FOODS_3,32390,0.36,2.0,Dole Roma Tomatoes
FOODS_3_362,FOODS_3,32197,1.16,28.0,Horizon Roma Tomatoes
FOODS_3_462,FOODS_3,32002,0.7,4.0,Nature Valley Pretzels
FOODS_3_406,FOODS_3,31261,0.49,0.0,General Mills Potato Chips (Classic)
FOODS_3_007,FOODS_3,28989,0.94,10.0,Dole Peanut Butter (Creamy)
FOODS_2_019,FOODS_2,27973,0.42,1.0,Nestle Turkey Bacon
FOODS_3_329,FOODS_3,27464,0.36,0.0,Tyson Black Beans (15oz)
FOODS_3_099,FOODS_3,27194,0.4,2.0,Nestle Whole Wheat Bread
FOODS_3_547,FOODS_3,26344,1.57,18.0,Nestle Iceberg Lettuce
FOODS_3_811,FOODS_3,25836,0.5,0.0,Silk Baby Carrots Bag
FOODS_3_702,FOODS_3,25282,0.29,1.0,Nature Valley Iceberg Lettuce
FOODS_3_412,FOODS_3,25049,0.68,8.0,Stonyfield Russet Potatoes (5lb)
FOODS_3_580,FOODS_3,25011,1.14,11.0,Kelloggs Chocolate Chip Cookies
FOODS_3_458,FOODS_3,24775,0.3,0.0,Horizon Instant Coffee
FOODS_3_313,FOODS_3,24577,0.43,3.0,Tyson Potato Chips (Classic)
FOODS_3_377,FOODS_3,24303,0.3,0.0,Tyson Baby Carrots Bag
FOODS_3_785,FOODS_3,24223,0.48,55.0,Marketside White Rice (2lb)
FOODS_3_348,FOODS_3,23517,0.59,2.0,Stonyfield Peanut Butter (Creamy)
FOODS_3_150,FOODS_3,23145,0.75,1.0,General Mills Avocados (Hass)
FOODS_3_404,FOODS_3,23097,3.67,46.0,Kelloggs Red Gala Apples
FOODS_3_109,FOODS_3,22761,0.74,18.0,Annie's Spaghetti Noodles
FOODS_3_767,FOODS_3,22732,5.29,65.0,Quaker Roasted Peanuts
FOODS_3_524,FOODS_3,22490,0.0,63.0,Stonyfield Pretzels
FOODS_1_218,FOODS_1,22457,0.58,0.0,Horizon Heavy Whipping Cream
FOODS_3_741,FOODS_3,21676,0.6,2.0,Kraft Pretzels
FOODS_2_128,FOODS_2,21273,0.59,27.0,Great Value Atlantic Salmon Fillet
FOODS_1_043,FOODS_1,21049,0.63,73.0,Silk Orange Juice (No Pulp)
FOODS_3_746,FOODS_3,21005,0.47,1.0,Horizon Sliced White Bread
FOODS_3_697,FOODS_3,20673,0.41,0.0,Tyson Marinara Pasta Sauce
FOODS_3_245,FOODS_3,20669,0.42,2.0,Kraft Pretzels
FOODS_3_086,FOODS_3,20460,0.57,2.0,General Mills Instant Coffee
FOODS_3_756,FOODS_3,20402,0.36,0.0,Kelloggs Tortilla Chips
FOODS_2_181,FOODS_2,20350,0.52,0.0,Kraft Ground Beef (93% Lean)
FOODS_3_744,FOODS_3,19901,0.38,0.0,Chobani Organic Bananas (Bunch)
FOODS_3_107,FOODS_3,19583,0.42,0.0,Silk Honey Nut Cereal
FOODS_3_769,FOODS_3,19251,0.56,5.0,Marketside Green Seedless Grapes
FOODS_3_133,FOODS_3,19179,0.77,1.0,Kraft Russet Potatoes (5lb)
FOODS_3_233,FOODS_3,18860,0.41,19.0,Tyson Spaghetti Noodles
FOODS_3_734,FOODS_3,18721,0.46,1.0,Nature Valley Roma Tomatoes
FOODS_2_021,FOODS_2,18660,0.76,27.0,Kraft Frozen Spinich
FOODS_3_454,FOODS_3,18170,1.24,24.0,General Mills Iceberg Lettuce
