item_id,dept_id,d_1842,d_1843,d_1844,d_1845,d_1846,d_1847,d_1848,d_1849,d_1850,d_1851,d_1852,d_1853,d_1854,d_1855,d_1856,d_1857,d_1858,d_1859,d_1860,d_1861,d_1862,d_1863,d_1864,d_1865,d_1866,d_1867,d_1868,d_1869,d_1870,d_1871,d_1872,d_1873,d_1874,d_1875,d_1876,d_1877,d_1878,d_1879,d_1880,d_1881,d_1882,d_1883,d_1884,d_1885,d_1886,d_1887,d_1888,d_1889,d_1890,d_1891,d_1892,d_1893,d_1894,d_1895,d_1896,d_1897,d_1898,d_1899,d_1900,d_1901,d_1902,d_1903,d_1904,d_1905,d_1906,d_1907,d_1908,d_1909,d_1910,d_1911,d_1912,d_1913,d_1914,d_1915,d_1916,d_1917,d_1918,d_1919,d_1920,d_1921,d_1922,d_1923,d_1924,d_1925,d_1926,d_1927,d_1928,d_1929,d_1930,d_1931,d_1932,d_1933,d_1934,d_1935,d_1936,d_1937,d_1938,d_1939,d_1940,d_1941
FOODS_3_090,FOODS_3,177,107,87,90,76,74,144,145,109,142,63,78,105,156,170,122,62,128,103,80,109,125,112,73,104,108,125,136,161,111,74,75,69,87,98,182,109,63,80,90,71,153,218,212,61,62,71,130,156,133,114,80,75,113,81,107,160,124,107,84,88,90,129,160,204,86,100,88,77,141,139,130,133,117,113,99,196,132,114,114,93,77,83,138,173,167,119,119,125,89,143,156,187,76,85,69,75,110,156,99
FOODS_3_586,FOODS_3,92,82,77,64,67,44,45,69,65,58,41,41,70,52,69,80,58,68,57,60,49,65,80,75,59,56,45,55,72,92,52,41,50,56,45,57,72,39,59,63,68,66,100,110,60,53,44,42,62,72,73,60,70,75,69,58,84,85,76,60,52,63,57,85,91,77,75,70,48,61,74,78,74,61,45,59,65,76,114,59,53,60,55,51,72,75,70,73,59,55,61,82,72,63,74,73,66,59,68,89
FOODS_3_120,FOODS_3,65,61,76,55,69,55,47,87,70,72,57,55,51,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,59,60,58,62,53,58,80,61,100,60,58,55,64,78,71,46,58,56,36,56,61,59,71,73,63,43,47,61,84,57,86,89,142,46,66,72,77,71,69,66,43,81,98,71,82,62,46,63,93,79,59,73,70,52,59,77,48,63,66,55,31,45,79,20,30,57,44,56,41,63,33
FOODS_3_252,FOODS_3,48,45,38,41,31,29,23,44,56,32,36,26,43,29,52,45,40,37,30,40,17,40,53,30,37,20,37,25,32,39,29,25,52,50,36,60,51,27,45,36,23,54,74,68,36,43,30,24,33,47,61,42,38,60,40,46,51,52,58,35,43,30,44,65,81,59,56,29,46,35,61,39,46,38,26,42,51,63,80,47,37,37,30,31,48,57,57,37,55,39,47,78,72,64,71,75,37,36,42,62
FOODS_3_541,FOODS_3,40,33,52,4,22,38,24,11,24,22,24,1,13,35,38,12,12,27,16,25,22,9,28,1,0,12,23,1,0,12,18,17,0,23,11,17,27,18,11,13,25,19,16,34,23,21,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_3_635,FOODS_3,19,34,44,21,22,24,20,1,24,23,2,0,29,35,7,0,17,39,46,22,22,31,34,26,10,27,27,17,37,24,29,26,23,31,18,37,42,15,22,30,19,24,44,25,32,28,51,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,5,8,0,0,0,4,0,0,0
FOODS_3_808,FOODS_3,32,34,38,29,20,39,41,36,52,24,22,20,27,41,39,44,51,33,21,20,13,25,57,38,39,18,35,13,27,60,62,24,25,21,21,24,43,50,57,21,25,20,22,32,37,27,41,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_3_587,FOODS_3,34,40,57,29,41,33,35,45,58,48,26,28,33,21,29,40,48,19,37,39,26,41,60,43,45,63,30,28,26,35,35,38,22,28,33,27,28,39,41,28,21,25,29,28,27,60,28,37,24,37,48,38,34,29,35,42,46,49,38,22,41,29,33,28,60,31,25,25,23,37,28,41,36,22,23,22,22,23,56,38,30,26,20,28,34,42,46,34,22,26,20,35,61,42,20,30,25,19,32,42
FOODS_3_555,FOODS_3,30,36,33,28,31,21,22,28,34,23,26,22,26,29,40,33,24,29,28,31,26,46,29,22,25,26,20,22,28,29,29,20,28,23,22,37,30,22,31,22,23,46,34,44,24,9,23,25,35,44,33,25,28,35,35,32,38,40,41,23,20,14,31,46,49,31,31,27,26,30,33,36,32,30,34,28,34,37,38,28,26,35,20,30,26,31,44,27,37,33,39,33,21,32,23,32,29,31,43,54
FOODS_3_681,FOODS_3,75,54,72,44,30,31,63,51,55,74,53,40,62,52,39,41,54,39,27,35,29,33,31,14,24,19,52,34,35,37,18,23,30,20,40,75,17,16,23,26,33,57,86,2,14,31,14,44,46,38,14,8,37,37,39,41,63,29,21,48,32,28,47,26,51,40,31,42,24,55,52,15,17,34,33,26,43,40,26,35,17,44,29,42,55,50,33,34,22,27,50,31,52,61,90,56,58,69,101,78
FOODS_3_714,FOODS_3,27,32,40,23,18,14,24,30,42,21,21,19,34,29,28,35,27,28,18,24,17,41,34,20,28,26,22,30,28,20,29,24,19,35,27,39,32,27,28,24,37,27,54,26,26,28,34,25,34,39,35,29,45,41,38,30,32,13,18,24,41,29,31,35,57,24,25,33,23,20,42,40,35,31,28,35,39,42,51,29,32,44,37,25,35,35,36,29,23,15,31,29,27,23,30,35,19,26,19,30
FOODS_3_202,FOODS_3,26,27,27,26,9,13,14,33,31,24,22,21,17,22,42,36,31,15,15,15,14,19,23,17,18,13,11,23,23,28,20,20,16,21,14,26,33,17,15,24,10,26,23,51,19,13,19,11,15,26,39,29,19,24,28,23,34,30,19,22,16,23,29,36,58,37,18,27,24,22,37,29,20,15,14,19,18,20,29,13,23,14,19,21,19,23,34,17,20,13,14,16,23,24,12,12,17,22,31,38
FOODS_3_607,FOODS_3,0,18,18,25,5,20,13,15,27,12,10,10,6,22,20,16,6,17,13,11,11,10,17,17,24,9,9,5,16,7,12,8,16,12,13,17,32,21,14,12,16,21,39,29,12,9,12,6,16,19,27,10,20,9,11,9,17,21,12,17,9,17,9,13,27,10,5,8,9,5,9,18,10,13,7,7,12,13,10,16,10,8,7,21,13,25,18,22,22,8,21,14,14,21,19,13,26,10,12,22
FOODS_3_281,FOODS_3,18,20,12,8,17,9,22,17,15,8,14,11,10,17,31,21,8,16,7,19,14,18,24,11,14,23,9,17,10,15,12,10,11,15,8,26,9,8,14,9,9,19,21,29,24,114,6,19,33,20,18,9,15,10,16,15,19,14,10,21,23,12,37,9,0,1,16,12,14,12,23,15,16,16,11,8,34,21,15,24,6,22,19,13,15,16,11,20,0,19,14,14,1,0,4,21,14,31,33,22
FOODS_3_319,FOODS_3,17,18,27,1,14,17,25,15,11,14,19,12,25,9,23,29,21,14,20,20,12,14,22,27,8,15,14,10,24,19,20,16,14,19,6,28,13,12,18,7,15,8,20,15,37,19,15,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
FOODS_3_723,FOODS_3,41,27,27,15,13,21,32,33,29,32,46,21,20,40,58,22,15,21,17,25,39,26,34,13,22,26,33,22,28,17,9,28,18,11,28,38,15,16,15,12,21,41,59,32,14,19,14,56,31,35,19,30,22,12,30,26,34,28,17,18,22,18,28,32,42,21,18,26,12,31,48,23,9,22,65,18,37,22,18,20,13,27,17,31,27,22,9,45,19,22,29,30,40,13,14,14,21,35,34,15
FOODS_3_318,FOODS_3,30,40,20,9,22,20,37,31,31,20,27,20,39,35,29,31,20,38,16,18,20,43,24,14,9,17,20,15,20,19,24,26,18,10,23,44,29,21,17,11,35,31,55,52,6,10,20,26,33,41,20,30,13,24,25,11,31,26,23,12,32,32,13,18,0,37,23,16,23,25,29,28,15,19,7,9,21,16,21,17,25,31,21,24,33,28,13,16,21,14,23,28,24,14,9,20,10,32,27,28
FOODS_3_752,FOODS_3,34,6,8,10,8,1,0,17,6,6,18,17,18,35,3,12,4,13,10,11,3,11,17,33,14,8,3,7,14,22,9,18,21,4,13,1,8,10,9,14,5,24,19,8,15,9,12,6,7,13,14,15,4,23,10,51,7,29,9,37,1,1,21,13,26,61,6,19,10,2,1,3,2,10,0,10,4,4,5,4,25,28,5,7,9,12,26,10,8,1,13,5,3,14,9,12,1,7,32,20
FOODS_2_197,FOODS_2,11,5,15,8,12,5,6,12,11,10,11,8,3,6,12,11,15,12,4,5,13,13,18,12,20,20,11,10,22,16,11,9,3,8,10,17,15,12,6,17,8,9,16,8,9,7,7,10,14,14,18,10,13,9,13,7,14,18,12,8,11,7,6,17,14,8,3,3,8,5,19,9,8,13,7,1,4,10,14,18,11,15,9,8,19,14,10,6,12,8,6,12,23,16,4,0,10,6,6,12
FOODS_3_694,FOODS_3,15,24,20,10,9,10,13,16,20,23,11,15,10,12,20,13,13,17,17,19,15,20,20,15,14,15,10,8,20,20,12,18,17,19,15,17,22,9,19,19,15,18,18,23,18,12,18,21,18,27,25,24,18,20,31,29,23,27,15,22,9,17,8,16,20,17,20,16,19,22,24,24,13,19,8,24,20,18,27,12,18,21,23,17,21,16,25,16,16,17,17,17,22,12,16,14,23,17,18,19
FOODS_3_234,FOODS_3,28,12,30,10,14,2,4,16,13,7,10,16,33,9,2,15,22,18,7,7,1,7,11,23,0,10,1,22,8,7,17,4,21,1,15,14,8,0,25,23,0,0,0,0,13,4,2,7,27,8,12,10,16,8,41,19,2,0,0,0,12,65,8,1,34,27,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_3_282,FOODS_3,76,65,52,35,38,45,37,58,88,61,45,39,32,25,39,63,48,45,37,18,0,57,80,81,66,50,59,60,84,117,64,58,64,51,65,81,70,66,60,42,55,43,77,104,53,45,35,22,34,63,85,55,46,35,36,32,54,85,43,31,47,33,31,47,73,39,46,26,20,11,20,38,23,23,19,24,21,31,44,29,30,27,19,15,32,24,30,28,21,26,18,27,43,26,27,23,29,22,24,40
FOODS_3_288,FOODS_3,36,39,33,37,39,31,41,47,58,31,24,34,23,27,39,51,36,24,20,31,30,56,60,44,38,35,27,29,42,32,30,27,22,18,25,48,42,39,40,35,26,39,60,56,29,21,34,33,32,38,66,31,43,28,25,31,44,59,32,18,26,26,23,48,52,37,33,14,28,21,41,64,30,37,27,44,28,55,47,33,37,33,28,32,49,54,37,26,42,31,33,43,37,31,31,25,30,29,27,37
FOODS_3_501,FOODS_3,13,8,20,6,15,24,20,24,43,40,36,27,27,35,35,39,30,12,13,11,15,12,21,22,19,26,20,10,20,20,17,20,14,18,15,19,36,25,20,19,14,23,28,22,11,13,34,15,10,9,37,12,23,17,28,17,13,18,26,13,13,14,8,17,20,17,21,8,12,8,16,23,24,5,11,6,8,22,12,20,13,15,25,11,20,13,26,6,7,23,16,12,12,21,15,12,16,3,15,40
FOODS_2_360,FOODS_2,0,10,3,3,0,0,0,5,0,3,3,0,0,0,0,0,0,0,0,4,19,17,6,12,18,1,23,0,8,24,7,14,13,8,21,17,17,18,33,21,3,18,15,19,18,15,11,14,14,27,7,19,14,42,17,6,25,26,32,25,31,14,16,17,22,17,11,21,15,16,4,31,12,2,8,2,11,21,13,25,16,14,11,33,16,21,25,17,29,16,21,15,8,22,8,5,6,13,8,16
FOODS_2_276,FOODS_2,6,4,10,10,13,5,3,2,11,4,9,5,3,4,8,3,6,10,4,12,11,11,5,10,12,18,10,4,13,13,10,6,16,5,10,9,13,13,11,7,8,2,5,12,8,11,9,10,7,8,14,12,16,8,5,6,15,15,10,12,4,7,8,8,6,7,9,7,9,5,7,3,9,5,4,3,6,5,6,9,10,7,7,2,8,8,9,5,9,9,2,6,7,6,7,5,4,5,6,9
FOODS_3_711,FOODS_3,13,19,11,7,12,7,2,21,11,6,16,28,16,8,13,19,4,105,12,22,3,0,19,25,8,0,0,7,13,27,11,6,8,0,1,8,14,31,11,10,10,9,19,1,13,1,7,11,33,4,1,0,0,33,26,6,6,18,21,7,0,0,15,3,15,28,2,2,0,0,4,6,15,8,15,16,28,10,7,20,14,46,6,7,0,0,5,7,12,0,14,5,2,16,12,6,6,17,6,2
FOODS_3_804,FOODS_3,21,6,20,8,25,31,14,34,3,22,0,2,17,23,24,13,9,23,25,5,0,10,23,23,30,19,16,18,13,0,2,9,15,35,3,2,16,22,7,13,9,0,20,20,18,0,13,10,14,28,15,17,14,0,0,0,0,0,0,0,0,0,16,22,1,24,16,17,17,45,0,18,0,4,19,4,18,19,22,8,16,15,15,21,11,14,13,16,8,9,18,21,0,18,12,25,7,10,22,32
FOODS_3_080,FOODS_3,14,14,16,8,14,13,12,15,13,16,7,6,13,15,16,17,14,17,9,14,10,14,11,18,12,11,14,20,14,19,11,13,12,13,15,14,6,13,9,14,7,19,14,15,14,9,12,2,11,19,14,14,11,13,15,9,15,13,12,10,13,15,8,22,15,17,7,11,15,15,21,13,12,10,8,7,14,13,15,13,12,11,15,8,12,15,14,19,13,19,18,20,10,12,16,15,18,23,17,14
FOODS_3_389,FOODS_3,20,21,29,13,8,6,13,12,20,12,14,7,21,11,13,25,12,11,15,6,9,21,21,11,11,10,15,7,18,23,12,7,14,12,15,16,19,15,17,7,17,15,29,22,22,10,6,21,18,19,19,21,11,18,18,14,23,24,20,17,8,18,22,27,28,19,17,18,17,16,19,20,20,13,10,20,13,34,33,23,9,14,9,16,16,16,13,15,16,19,21,29,21,18,24,16,13,12,18,22
FOODS_3_295,FOODS_3,6,22,19,15,15,15,15,18,49,31,24,13,20,23,33,41,38,11,25,14,7,23,22,19,21,22,15,20,18,32,22,20,17,20,12,17,31,18,16,11,20,13,21,18,19,22,14,16,11,10,37,19,19,16,20,17,25,16,15,13,15,6,8,21,18,33,16,10,9,12,39,15,15,9,29,3,8,24,8,13,5,14,27,14,17,15,26,13,3,12,3,9,21,16,16,16,17,5,9,13
