item_id,dept_id,product_name
FOODS_3_090,FOODS_3,Horizon Pretzels
FOODS_3_586,FOODS_3,Horizon Pretzels
FOODS_3_120,FOODS_3,Chobani Bagged Salad Mix
FOODS_3_252,FOODS_3,Stonyfield Classic Cola 2L
FOODS_3_541,FOODS_3,Annie's Honey Nut Cereal
FOODS_3_635,FOODS_3,Silk Marinara Pasta Sauce
FOODS_3_808,FOODS_3,Chobani Sliced White Bread
FOODS_3_587,FOODS_3,Silk Fruit Snacks
FOODS_3_555,FOODS_3,Silk Pretzels
FOODS_3_681,FOODS_3,Tyson English Muffins
FOODS_3_714,FOODS_3,Horizon Red Gala Apples
FOODS_3_202,FOODS_3,Horizon Spaghetti Noodles
FOODS_3_607,FOODS_3,Quaker Canned Sweet Corn
FOODS_3_281,FOODS_3,Tyson Sliced White Bread
FOODS_3_319,FOODS_3,Quaker Russet Potatoes (5lb)
FOODS_3_723,FOODS_3,Nestle White Rice (2lb)
FOODS_3_318,FOODS_3,Nature Valley Strawberry Jam
FOODS_3_752,FOODS_3,Great Value Strawberry Jam
FOODS_2_197,FOODS_2,Kraft Frozen Waffles
FOODS_3_694,FOODS_3,General Mills Tortilla Chips
FOODS_3_234,FOODS_3,Horizon Granola Bars (Oats)
FOODS_3_282,FOODS_3,Horizon Potato Chips (Classic)
FOODS_3_288,FOODS_3,Great Value Russet Potatoes (5lb)
FOODS_3_501,FOODS_3,Kraft Baby Carrots Bag
FOODS_2_360,FOODS_2,Chobani Chicken Breast (Boneless)
FOODS_2_276,FOODS_2,Kelloggs Pork Sausage Links
FOODS_3_711,FOODS_3,Dole Fruit Snacks
FOODS_3_804,FOODS_3,Kelloggs Fruit Snacks
FOODS_3_080,FOODS_3,Great Value Canned Sweet Corn
FOODS_3_389,FOODS_3,Kraft Granola Bars (Oats)
FOODS_3_295,FOODS_3,Dole Spaghetti Noodles
FOODS_3_376,FOODS_3,Chobani Classic Cola 2L
FOODS_3_499,FOODS_3,Nestle Potato Chips (Classic)
FOODS_2_244,FOODS_2,Kelloggs Smoked Turkey Deli Slices
FOODS_3_491,FOODS_3,Silk Avocados (Hass)
FOODS_3_739,FOODS_3,Nestle Avocados (Hass)
FOODS_3_498,FOODS_3,Organic Valley Sliced White Bread
FOODS_2_347,FOODS_2,Silk Frozen Waffles
FOODS_3_764,FOODS_3,Stonyfield Iceberg Lettuce
FOODS_3_455,FOODS_3,Dole Roma Tomatoes
FOODS_3_362,FOODS_3,Horizon Roma Tomatoes
FOODS_3_462,FOODS_3,Nature Valley Pretzels
FOODS_3_406,FOODS_3,General Mills Potato Chips (Classic)
FOODS_3_007,FOODS_3,Dole Peanut Butter (Creamy)
FOODS_2_019,FOODS_2,Nestle Turkey Bacon
FOODS_3_329,FOODS_3,Tyson Black Beans (15oz)
FOODS_3_099,FOODS_3,Nestle Whole Wheat Bread
FOODS_3_547,FOODS_3,Nestle Iceberg Lettuce
FOODS_3_811,FOODS_3,Silk Baby Carrots Bag
